コード,見通し原文
3953,"今後の見通し 次期の見通しにつきましては、中東情勢の緊張化等を背景に原油の供給不足やエネルギー価格の更なる上昇、人件費の上昇や金利の動向の影響等により先行きが不透明な状況が続いております。 この様な状況のもと、当社は、小ロット・多品種・短納期を武器に、個性化・多様化しているお客様の段ボールニーズに対していち早く・的確に対応し、より充実したサービスを提供していくことを第一に考えております。この様な見通しのもと、当社の2027年３月期の通期業績予想につきましては、売上高6,300百万円(前期比5.8％増)、営業利益421百万円(同20.0％増)、経常利益424百万円(同17.9％増)及び当期純利益292百万円を計画しております。２．会計基準の選択に関する基本的な考え方 当社は、国際的な事業展開や資金調達を行っていませんので、日本基準に基づき財務諸表を作成しております。 大村紙業株式会社（3953） 2026年３月期決算短信（非連結） - 4 - (単位：千円)前事業年度(2025年３月31日)当事業年度(2026年３月31日)資産の部流動資産現金及び預金2,758,3122,310,657受取手形157,85979,844電子記録債権267,658265,664売掛金758,120764,563商品及び製品64,45563,954原材料及び貯蔵品515,675541,856前払費用10,9729,722その他8,6122,838貸倒引当金△2,367△2,220流動資産合計4,"
6358,今後の見通し今後世界の建設機械市場は、短期的には調整局面がしばらく続くものの、中長期的には日本の国土強靭化実施中期計画や防衛整備予算倍増、米国における高水準のインフラ投資、新興諸国におけるインフラ投資と鉱山開発の活発化、更には老朽化インフラの更新需要や自然災害甚大化への対応と復興需要など、建設機械の底堅い潜在需要が期待されますので、景気循環とともに回復するものと予想しております。一方足下では、世界秩序の混迷と、中東危機長期化に伴うエネルギー原材料価格の高騰が世界経済の下押し圧力となるリスクをはらんでおり、予断を許しません。このような情勢の下で当企業グループでは、成長に向けた新製品投入力の増強と市場開拓、価格戦略と高付加価値化による収益体質向上、ＡＩ実装による業務改革と企業体質強化、人的資本投資と収益生産性向上の両立により、成長力と収益力を高めて参ります。また引き続き中長期成長戦略である、アジア市場深耕と北米市場展開、海外事業領域拡大、新技術活用による次世代事業開発、需要変化対応力強化を進め、中長期的な事業成長と企業価値向上を目指して参ります。なお、次期中期経営方針につきましては、７月下旬を目処に公表を予定しております。（４）利益配分に関する基本方針及び当期・次期の配当当企業グループは道路建設機械の製造・販売を業とする公共性の高い業種であり、長期にわたり安定的な経営基盤の確保に努めるとともに、配当についても安定的な配当の継続を重視し、業績と健全な財務体質に裏付けられた成果の配分を基
3597,"今後の見通しにつきましては、円安、原材料等の高騰による物価上昇や、地政学リスクの長期化、米国の通商政策などの影響により、景気の先行きは引き続き厳しい状況が続くものと思われます。 このような環境の中、当社におきましては、「揃わなければユニフォームとは言えない」というユニフォームの基本に立ち返り、「揃う自重堂」の復活に向け、生産体制の再整備・強化に注力してお客様からの信頼を取り戻し、販売機会ロスを低減して、業績回復に努めてまいります。「働く人を応援する」という基本理念に基づき、ワークウェアとしての機能性とデザイン性を兼ね備え、かつ、価格訴求力のある商品や、ＳＤＧｓ、サステナビリティに対応した商品など、「働く人」が本当に求めている商品の開発・販売強化に努めてまいります。 以上のような活動を推進することにより、2026年6月期の連結業績予想は、売上高は16,000百万円（前年同期比7.1％増）、営業利益は1,800百万円（前年同期比24.4％増）、経常利益は1,900百万円（前年同期比16.8％増）、親会社株主に帰属する当期純利益は1,350百万円（前年同期比19.6％増）としております。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、日本基準を採用しております。国際会計基準への変更は検討しておりませんが、国際会計基準の動向については、情報収集に努めてまいります。 ㈱自重堂（3597） 2025年６月期"
8093,今後の見通し 当グループは、サステナブルな社会の実現と企業価値の向上を目指した中期経営計画「KBKプラスワン2025」で掲 げた事業戦略の実行により、この５カ年を通して着実に成果を出し業績を改善し続けてきました。しかしながら、 脱炭素やデジタル化、地政学リスクの常態化、人手不足といったメガトレンドにより、事業環境は構造的な転換期 を迎えており、持続的な成長と資本効率の向上のためには、ビジネスモデルの高度化が不可欠と認識しておりま す。 この認識のもと、「未来を拓く、ソリューションパートナーへの変革」をコンセプトに、2027年３月期を初年度 とする新たな３カ年の「中期経営計画 2028」Beyond NEXUS を策定しました。 - 5 - 極東貿易株式会社(8093) 2026年３月期 決算短信 本計画では、政府の成長戦略と連動する「防災」「防衛」「エネルギー」「輸送機器」「半導体」の５分野を重 点領域と定め、経営資源を集中いたします。また、３カ年で50億円以上のM&A等投資枠を設定し、非連続な成長を目 指します。2029年３月期を最終年度とする定量目標は以下のとおりであり、中長期的な企業価値の向上を追求して まいります。 詳細につきましては、本日開示いたしました「中期経営計画 2028」Beyond NEXUS をご確認下さい。 なお、2027年３月期の連結業績につきましては、売上高660億円、営業利益23億円、経常利益25億50百万円、親会
3388,"今後の見通しについては、米国の通商政策、中国経済の減速ならびに中東情勢などの地政学的リスクの動向に引き続き注視する必要がありますが、経済活動の正常化は徐々に進んでいくものと想定しております。国内においても、賃上げの継続や雇用環境の改善を背景とした個人消費の持ち直しが見られ、経済活動の回復が着実に進んでいくものと見込んでおります。当社グループの主要ユーザーである自動車関連企業においては、研究開発向けの投資が回復し、底堅く推移していくものと見込んでおります。 こうした中、当社グループにおきましては、「エリアNo.1の存在価値のあるパートナーになる」をスローガンとした第11次中期経営計画（2024年度～2026年度）に基づき、環境変化に応じた新たな価値創造、価値提供により、社会課題や顧客課題への解決に貢献してまいります。 次期連結業績予想につきましては、売上高は84,000百万円、営業利益は4,070百万円、経常利益は4,380百万円、親会社株主に帰属する当期純利益は3,060百万円を見込んでおります。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針であります。 なお、国際会計基準の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。 明治電機工業㈱ （3388） 2026年３月期 決算短信 - 5 - (単位：千円)前連結会計"
6485,今後の見通し雇用・所得環境の改善が進み、景気は緩やかな回復傾向にありますが、中東情勢による影響等を受け、原材料・エネルギーコストが高騰し、それに伴い物価高及び消費マインドが低下するなど、厳しい事業環境が続くと想定されます。このような状況のなか、当社は、原価上昇分を適切に販売価格に反映していくとともに、業務効率化によるコスト削減を強化してまいります。次期の業績につきましては、中東情勢により先行きが不透明な状況にありますが、売上高324億円、営業利益27億円、経常利益29億円、当期純利益20億円を予想しております。上記見通しは、当社が現在入手している情報を基礎とした判断及び仮定に基づいており、実際の業績と大きく異なる可能性があります。(５)利益配分に関する基本方針及び当期・次期の配当当社は、2025年８月７日に公表いたしました「配当政策の基本方針変更（ＤＯＥ・累進配当）および配当予想修正（増配および記念配当）に関するお知らせ」のとおり、配当方針の見直しを行い、普通配当につきましては、純資産配当率（ＤＯＥ）３％程度を目安に、安定性・継続性に配慮した「累進配当」といたしました。同時に、記念配当につきましては、純資産配当率（ＤＯＥ）および累進配当の基本方針には該当しないことといたしました。この方針のもと、期末の財政状態から、期末普通配当金を１株あたり31円50銭（2025年８月７日公表の普通配当予想から３円の増額）といたします。なお、期末記念配当金１株あたり１円50銭（変更なし）とあわせま
8123,今後の見通し 川辺株式会社(8123) 2026年３月期 決算短信 企業を取り巻く経営環境は今後大きく変化するものと捉えています。背景には、地政学リスク 中東情勢をはじめとする各地の紛争、為替変動、世界的なインフレ、そして人手不足が大きく影 響してくるものと捉えています。これらは、借入・調達・生産・販売における各所で大きな課題 となり、従来のやり方、従来の延長線上の戦い方だけでは成長を維持することは非常に難しくな ります。 今後企業価値を高めるには、より一層グループ一体となってグループ全体の付加価値を高める ことが必要であると考えています。 「中期経営計画2023NEXT」では「当社グループしかできないグループ全体で連携したモノ作り と販売」を掲げ、製造から販売を自社グループで行うに徹してきたことで一定の成果が生まれま した。 「中期経営計画2026」では「グループシナジーの最大化」をテーマに事業ポートフォリオ改革 を行い経営資源の最適化を行います。各社の垣根を超え、柔軟な営業スタイルのもと「新規販路 新規売上の構築」「新アイテムの取り組み」「デジタルマーケティング強化」「EC強化」「資本 効率利益の最大化」を目標に企業価値向上と持続可能な成長を行っていきたいと考えます。 2026年度は、身の回り品事業におきましては、ライセンスブランド強化とオリジナル強化の２ 軸で行っていきます。また、推し活の影響で新たなマーケットが出来つつあるキャラクターIP
5304,今後の見通し 世界経済は、金融引き締めの影響、地政学的リスクの高まり等により、先行き不透明な状況が続いておりま す。加えて、為替動向や各国の通商政策の変化も、当社グループを取り巻く事業環境に影響を及ぼしておりま す。 当社グループの主要事業においては、アルミニウム製錬用カソードブロックでは競争環境の変化や在庫調整解 消の遅れ、人造黒鉛電極では粗鋼生産の低迷や海外安価品の流入、特殊炭素製品及びファインパウダーでは需要 回復の遅れなど、引き続き厳しい環境が見込まれます。 このような経営環境の中、当社グループにおいては、事業収益力の回復、成長領域の具体化、事業基盤の強化 及び資本効率の向上が重要な経営課題であると認識しております。これらの課題に対応するため、成長戦略の再 定義、ものづくりの底上げ、人材の質と量の再定義、IT基盤強化、カーボンニュートラルへの貢献、投資の加速、 資本効率化の加速を次期の経営重点目標として、その達成を目指し全社一丸となって取り組んでまいります。 また、当社グループは企業の社会的責任を認識し、法令遵守を徹底するとともに、コーポレートガバナンスの 充実や環境負荷の低減等、サステナビリティ経営の推進を通じて、持続的な成長と中長期的な企業価値の向上に 努めてまいります。 2027年３月期の通期連結業績予想につきましては、売上高265億円（前期比5.6%増）、営業利益34億円（前期比 15.2%減）、経常利益44億円（前期比22.6%減）
8935,"今後の見通しにつきましては、景気は緩やかな回復基調で推移する見込みですが、中東情勢の悪化などの地政 学リスクの高まりによる原材料価格の高騰や物価上昇等には引き続き注視する必要があり、依然として先行きは 不透明な状況が続くものと考えております。 このような状況において、当社グループは、採算性を重視した積極的な仕入れ並びに社会やお客様のニーズを 適確に捉えた販売チャネルの開拓、ＤＸの推進など様々な取り組みを行い、企業としての成長力を高めてまいり ます。 以上により、売上面につきましては、主力である不動産開発事業におけるマンション販売計画戸数を過去最多 となる4,000戸（「ガーラ・レジデンスシリーズ」343戸を含む）とし、2027年３月期の売上高は1,520億円（当連 結会計年度比6.8％増）を計画しております。 利益面につきましては、各セグメントにおいて原材料価格や施工費の高騰が見込まれておりますが、マンショ ン販売計画戸数を加味し、営業利益150億円（当連結会計年度比4.2％増）、経常利益150億円（当連結会計年度比 4.5％増）、親会社株主に帰属する当期純利益105億円（当連結会計年度比4.9％増）を計画しております。 なお、上記の業績予想は本資料の発表日現在において入手可能な情報に基づき作成したものであり、実際の業 績は、今後様々な要因によって予想数値と異なる結果となる可能性があります。引き続き当社グループの事業へ の影響を慎重に見"
6419,今後の見通し今後の経済見通しにつきましては、雇用・所得環境の改善を背景に個人消費の安定化が期待されるものの、米国の通商政策の動向やウクライナ・中東情勢の影響による資源・エネルギー価格の高止まり、物価上昇等、先行き不透明な状況が続くものと見込まれます。[アミューズメント関連事業]主要販売先であるパチンコ業界は、参加人口の長期的な減少に加え、人件費・光熱費の上昇や遊技機の高機能化に伴う設備投資負担の増加等により、依然として厳しい経営環境が続いており、二極化が一層進んでおります。遊技機の動向におきましては、パチスロ市場においてスマスロの普及が進展する一方、パチンコ市場ではスマパチの普及は限定的に留まっております。当社グループは、「ＥＶＯＡＬＬ（エヴォール）シリーズ」を中心とした豊富なラインナップを武器に、ホール運営の業務効率化と売上・利益の最大化を支援するシステムを提供してまいります。[スマートソリューション関連事業]ＤＸの拡大や労働人口不足といった課題を背景に、自動認識技術分野における省人化・効率化ニーズが高まっており、ＡＩやＩｏＴを活用したシステムへの需要が拡大しております。当社グループは、主要分野である製造・物流・医療領域を中心に、ＡＩ画像認識システムやＩｏＴ対応の冷蔵物販自販機や無人チェックイン端末等、製品・ソリューションの開発・販売を推進してまいります。[ホテル・レストラン関連事業]円安を背景としたインバウンド需要の拡大により、観光関連需要は堅調に推移しております。一方で、人
5368,今後の見通しにつきましては、地政学リスクの長期化や中国経済の先行き懸念、米国の通商政策による混乱 に加え、中東情勢の悪化によるエネルギー価格の上昇など、先行きの予測が難しい状況にあります。 このような状況の中、先行きの不透明さが増すとともに、資材価格の高騰などを背景に、需要家企業の投資 計画の延期や中止が増加する傾向にあり、受注確保が厳しさを増しております。利益面では、人材確保の観点 からベースアップの継続実施を予定している一方で、中東情勢の緊張が影響し、資材やエネルギーの価格上昇 等により、当社の収益の悪化が懸念されるところであります。このような短期的に厳しさを増す事業環境の変 化に対応して、当社といたしましては、期中での案件積み増しや周辺領域の開拓強化、価格転嫁の実施、更な る原価の低減、経費の削減等を行うことにより、中期経営計画の最終年度において、計画に掲げる業績目標へ 少しでも近づけるように、収益の確保に努めてまいる所存であります。 中長期的には、プラント関連では、カーボンニュートラルへの移行対応により期待される保温工事の需要拡 大が後倒しになる一方で、この需要不足を埋める案件受注、周辺領域の開拓強化を推進し、受注の確保に努め ております。建築関連では、主力の耐火被覆材はもとより、内装仕上材、炭素繊維強化プラスチック向け型材 等の拡販等に努める一方で、工事部門では顧客ニーズに対応した施工方法や認定拡充等によって需要の掘り起 こしを図っております。当社
8150,"業績見通しにつきましては、当期に比べ減益となる見通しではありますが、現在進行中であるＶ76中期経営計画の最終年度目標として掲げた「経常利益50億円以上」「当期純利益35億円以上」は達成できる見込みであります。（連結業績見通し） ②資産、負債、純資産及びキャッシュ・フローの通期の見通し次期連結会計年度末における総資産は、当連結会計年度末に比べて18億円程度の増加が予想され、概ね928億円程度となる見込みです。これは主に売上債権と棚卸資産の増加を見込んでおります。また、有利子負債の残高は、当連結会計年度末に比べて12億円程度の増加が予想され、概ね210億円程度となる見込みです。次期連結会計年度末における現金及び現金同等物は、売上債権や棚卸資産の増加等による支出を見込んでいるものの、当期純利益の計上による収入等で吸収し、当連結会計年度末に比べて概ね同水準の96億円程度となる見込みです。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針であります。 なお、国際会計基準の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。 三信電気㈱（8150）2026年３月期 決算短信 - 5 - (単位：百万円)前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流動資産現金及び預金9,3619,680受取手形、売掛金及び契"
7602,"今後の見通しにつきましては、ロシア・ウクライナ及び中東情勢の長期化や円安・原油高の継続など、外部環境の不透明感は依然として払拭されておりません。また、当社グループが事業基盤を置く自動車業界におきましても、少子化の進行や若年層における自動車離れ、所有形態の多様化、物価高騰に伴う消費者の節約志向の高まりなど、先行きの不透明な状況が続いております。このような事業環境のもと、当社グループは、お客様を『生涯顧客』と位置づけ、継続的かつ強固な関係構築に向けた取り組みを一層推進いたします。あわせて、適正かつ適切な業務運営を徹底し、お客様の信頼に誠実に応えてまいります。また、経営戦略におきましては、金融・投資・Ｍ＆Ａ・不動産事業を新たな収益の柱と位置づけ、その積極的な推進によりグループ全体の収益向上を確実に実現してまいります。さらには、当期に実行したカーチスロジテックの連結除外や販売費及び一般管理費の抜本的削減によるコスト構造が通期で寄与することに加え、米国FRHC社やSuperX社との事業提携が本格稼働することから、収益性は飛躍的に向上するものと見込んでおります。以上により、次期連結会計年度の見通しにつきましては、売上高20,000百万円（前年同期比0.8％増）、営業利益250百万円（前年同期は営業損失117百万円）、経常利益250百万円（前年同期は経常損失97百万円）、親会社株主に帰属する当期純利益175百万円（前年同期比2.8％増）となる見込みであります。なお、上記の業績予想は"
6165,今後の見通し 当社グループを取り巻く事業環境は、世界的な地政学リスクの高まり、原材料価格や人件費の上昇、為替変動に加え、少子高齢化を背景とした人財不足や自動化・省人化ニーズの加速など、大きく変化しております。 当社グループはこれまで、金型部品事業を中核にグローバル展開を進め、安定した事業基盤を構築してまいりました。一方で、資本効率や収益性の面では改善の余地があるとの認識のもと、企業価値の持続的向上に向けて、事業構造そのものを進化させる必要性を強く認識しております。 こうした課題認識を踏まえ、当社グループは、創業60周年を迎える2034年度のありたい姿を示す長期ビジョン「Vision60」を新たに策定し、「脱・金型部品依存」をキーワードに、事業領域の拡大と収益構造の高度化を目指す方針を明確にいたしました。 中期経営計画「ＶＣ28」は、この「Vision60」の実現に向けた最初の中期経営計画であり、「収益性の改善」と「次の成長に向けた基盤構築」に集中するフェーズとして位置づけており、「ＶＣ28」においては、以下の基本方針のもと、経営戦略を推進してまいります。 ①既存事業（金型部品事業）における特注品特化と生産性向上による安定したキャッシュ創出力の強化 ②自動化・省人化ニーズを背景としたＦＡ事業の育成・拡大による、第２の収益柱の確立 ③Ｒ＆Ｄおよび新規事業への取組みを通じた中長期的成長機会の創出 ④ＤＸ推進による業務効率化と固定費構造改革 ⑤ＲＯＩＣを中核指標とした、資本効率を重視する
9820,"業績見通し等を判断 する前提に変化が生じた場合、業績見通し等を修正する場合があります。 2027年３月期 セグメント別業績の見通し（百万円未満切捨て） 2027年３月期 予想 2026年３月期 実績 増 減 売上高 セグメント利益 売上高 セグメント利益 売上高 セグメント利益 （百万円） （百万円） （百万円） （百万円） （百万円） （百万円） リニューアル 駐車場 施設等保守管理 保険代理 全社共通 合計 3,468 1,420 1,155 57 ― 6,100 609 257 84 23 △287 686 2,000 1,592 1,056 65 ― 4,714 276 290 85 29 △218 463 ＋1,467 △172 ＋98 △8 ― ＋1,385 ＋332 △33 △1 △6 △68 +222 （５）継続企業の前提に関する重要事象等 該当事項はありません。 ２．会計基準の選択に関する基本的な考え方 現在、当社グループの事業は日本国内に限定されており、また海外からの資金調達の要否や国内の同業他社との 比較可能性などを勘案し、会計基準につきましては日本基準を適用しております。 3 ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受取手形、売掛金及び契約資産 完成工事未収入金 未成工事支出金"
1768,"今後の見通し今後の経済見通しにつきましては、世界的なウクライナ・中東情勢の地政学的リスクに加え、中国経済の減速などによる影響から景気の先行き不透明感が強まっている状況にあります。建設業界におきましても、官民とも受注高は堅調に推移しているものの、労働力不足の深刻化などにより非常に厳しい状況となることが想定されます。また、運輸業界におきましても労働需給逼迫問題は深刻化しており、両業界ともに予断を許さない経営環境が続いております。次期連結会計年度の業績といたしましては、建設事業における繰越工事高および当社施工管理規模を勘案し、建設事業の受注高は前期実績並みの18,000百万円を計画しております。次に、売上高につきましては、建設事業の順調な繰越工事高と次期以降完成工事を考慮し、前期比1,828百万円減の20,925百万円を見込んでおります。一方、利益につきましては、繰越工事高の利益見込みと建設事業における工事原価の変動リスクを織り込み、営業利益で前期比794百万円減の1,081百万円、経常利益では前期比807百万円減の1,179百万円、親会社株主に帰属する当期純利益につきましても、前期比543百万円減の823百万円を見込んでおります。セグメントの業績見込みは、次のとおりであります。(5）利益配分に関する基本方針及び当期・次期の配当 利益配分につきましては、株主の皆様に長期的に安定した配当を実施いたしますとともに、経営環境が激変するなかで不測の事態に備えるため、また財務体質を強化する観点か"
6418,今後の見通し次期（2027年３月期）における当社グループを取り巻く事業環境は、中東情勢の緊迫化をはじめとする地政学的リスクの継続に伴い、原油供給の不安定化やエネルギー価格の上昇、部材価格の高騰等の影響が想定されることから、先行きは依然として不透明な状況が続くものと予想されます。このような状況の中、主力事業であるグローバルゲーミング事業につきましては、北米地域を中心とした堅調な需要を背景に、主力製品の販売拡大及び収益性の高い製品・サービスの提供を通じて、当社グループの中核事業として収益力の最大化に引き続き取り組んでまいります。また、海外コマーシャル事業につきましては、これまで取り組んできた北中南米地域での市場開拓が進展し、業績面にも成果として表れつつあります。こうした状況のもと、富士通フロンテック株式会社の中・小型リサイクラー/ディスペンサー事業の譲受を通じて、開発力の強化、製品ラインナップの拡充及び顧客ネットワークの強化並びに事業シナジーの最大化を図り、金融・流通・交通市場向け製品の競争力向上と新規市場開拓を推進してまいります。国内コマーシャル事業につきましては、流通・交通・金融市場向けの既存需要への対応に加え、クリニック向けをはじめとする新たな市場領域の開拓を強化し、需要基盤の拡大と収益性の改善に取り組んでまいります。遊技場向機器事業につきましては、近年の遊技場業界の構造変化を踏まえ、他の余暇市場へのシフトを含む新たな事業領域への展開等あらゆる可能性を検討してまいります。これら
8045,今後の見通し今後の水産物流通業界の見通しにつきましては、気候変動に伴う海洋環境の変化が漁獲量の減少に大きな影響を及ぼし、魚の再生産能力を超えるスピードで繰り広げられている国際的な漁業競争によって水産物の国内流通量は減少傾向にあります。また、遠洋漁業をはじめエネルギー価格の高止まりによる魚価への反映が、消費者の贅沢消費やご褒美消費から節約消費へと推移することが想定されます。また、世界貿易戦争の拡大や米国の自国第一主義、中国の構造的課題、地政学リスクが及ぼす影響も懸念されます。このような状況のもと、当社グループは、社会的責任であります水産物の安定供給に努めるとともに、これまで培ってきたリレーションを活かしグループ連携を活用した効率的な集荷とそれぞれの地域と環境に合わせた商品の提供に取り組んでまいります。また、多様化するニーズを深掘りし、当社グループとして強みのある商品の提供に邁進するとともに、2026年度から2028年度までの３ヵ年の中期経営計画「横浜丸魚グループ中期経営計画 2026 ～Transform ＆ Growth～」の初年度として、「移り変わる」時代に柔軟に対応し、グループの役員及び従業員一人一人が高い目標および「変化を恐れない」という新たなマインドセットを持ち、当社が目指す姿に到達できるよう、持続的な成長と発展に努めてまいります。（５）利益配分に関する基本方針及び当期・次期の配当当社は、利益配分につきまして、株主の皆様に対する利益還元を重要な経営課題の一つとして位置付け
9478,"今後の見通しにつきましては、不安定な中東情勢の長期化懸念を主因とした、原油を始めエネルギー価格の高止ま りによるインフレの再燃などが懸念されることから、景気動向の先行きについてはこれまで以上に不透明な状況が継 続するものと認識しております。 このような情勢の中で、当社グループは、次期の重点課題として、事業会社各社の再建、新規収益基盤の創出、事 業会社経営人材の拡充と育成、収益基盤の質の多様性による長期成長基盤の充実、及び経済環境、経営環境への適応 と将来への準備を重点課題として取組むことにより、2027年３月期通期連結業績につきましては、連結売上高6,500百 万円、連結営業利益850百万円、連結経常利益730百万円、親会社株主に帰属する当期純利益500百万円を予想しており ます。 なお、本業績予想は、本資料の発表日現在入手可能な情報に基づき、上記内外経済情勢・景気動向への認識、その 他各事業に関するリスク要因などを総合的に織り込んで作成されたものであり、実際の業績は、今後の様々な要因に よって予想値と異なる場合があります。 （５）継続企業の前提に関する重要事象等 該当事項はありません。 ２．会計基準の選択に関する基本的な考え方 当社グループの業務は、現在ほぼ日本国内に限定されており、また、外国人株主比率が比較的低いため、当面は日 本基準に基づき連結財務諸表を作成する予定であります。なお、IFRSの適用につきましては、国内外の情勢を考"
6365,"今後の見通しにつきましては、雇用・所得環境の改善や堅調な企業収益を背景に、景気は緩やかな回復基調が継続することが期待されるものの、米国による関税政策の動向やウクライナ情勢の長期化、中東情勢の緊迫化などにより、先行き不透明な状況が継続するものと予想されます。 このような中で、当社グループの受注については、受注高27,000百万円を目指します。2027年３月期の連結業績予想については、売上高27,300百万円、営業利益3,100百万円、経常利益3,300百万円、親会社株主に帰属する当期純利益2,550百万円となる見通しです。 なお、上記の業績見通しは現時点で入手可能な情報に基づき作成したものであり、実際の業績は、今後の様々な要因により大きく異なる可能性があります。 ㈱電業社機械製作所（6365） 2026年3月期 決算短信 - 3 - 2022年3月期2023年3月期2024年3月期2025年3月期2026年3月期自己資本比率（％）70.070.370.768.873.5時価ベースの自己資本比率（％）43.438.945.842.759.3キャッシュ・フロー対有利子負債比率（年）-----インタレスト・カバレッジ・レシオ（倍）-----(2）当期の財政状態の概況① 資産、負債及び純資産の状況（資産）当連結会計年度末の総資産は前連結会計年度末に比べ1,252百万円増加し、41,721百万円となりました。これは、契約資産の減少1,131百万円などがあったものの、売掛金の"
6022,"今後の見通し 来期の事業環境につきましては、主機関分野における引合いは一定水準を維持し、回復の動きが見られることか ら、引き続き積極的な受注活動を展開してまいります。一方で、資機材価格の高止まりや調達コストの上昇といっ た外部環境の影響は依然として大きく、これらを主機関の販売価格へ十分に転嫁することは容易ではない状況が継 続すると認識しております。このような課題に対応するため、主機関事業を補完する収益基盤の強化を重要な施策 と位置付け、部分品および修理工事の受注拡大に引き続き取り組むとともに、海外市場への販路拡大を進めてまい ります。あわせて、生産体制の最適化および既存設備の有効活用を通じて稼働率の向上を図り、鋳物製品、機械加 工品に加えて、潤滑油清浄装置事業やバイオディーゼル燃料製造販売事業といった新規事業の育成にも取り組んで まいります。 以上の取り組みを着実に推進することにより、来期の業績につきましては、売上高9,000百万円、営業利益20百万 円、経常利益140百万円、当期純利益90百万円を計画しております。 また、中長期的な競争力の確保および持続的な成長の実現に向けて、次世代燃料エンジンや低燃費型新機関の開 発を継続的に進めるとともに、自動運航船の実用化に向けたシステム開発を推進し、社会課題の解決と企業価値の 向上を両立させることで、当社ブランド力の一層の強化を図ってまいります。 なお、来期の配当につきましては、現時点の不透明な経済環境や事業"
1807,今後の見通し 今後のわが国の経済の見通しにつきましては、雇用・所得環境の改善や各種政策の効果により、緩やかな回復基調が 続くものと期待されますが、不安定な国際情勢や物価上昇に伴う消費抑制や原材料価格の高騰、人手不足の深刻化など、 依然として先行き不透明な状況が続く見通しです。 道路建設業界におきましては、頻発する自然災害への対策や社会インフラの長寿命化を背景に、公共投資は今後も堅 調に推移することが期待されるものの、原油相場の変動に伴う原材料価格の上昇に加え、供給網（サプライチェーン） の混乱による資材調達の遅延リスクも顕在化しており、徹底したコスト管理と機動的な価格転嫁が喫緊の課題となるな ど、今後の経営環境は引き続き予断を許さない状況にあります。 このような環境のもと、当社グループは、“変革と学習文化の醸成および持続可能性への取り組み”をテーマとした 「佐藤渡辺グループ中期経営計画（2024～2026年度）」を策定し、①収益力の向上、②資本・財務戦略の強化、③ＥＳ Ｇ経営の推進の３つの基本方針を掲げて、グループ一丸となって取り組んでおります。100年企業としての誇りと伝統を 継承しつつ、変化に対応する柔軟性と学習意欲を持つ組織文化の醸成を目指してまいりました。 しかしながら、直近の業績動向に加え、中東情勢をはじめとする地政学リスクの緊迫化など、事業環境が大きく変化 している状況を鑑み、2027年３月期の計画を見直しております。 詳細につきましては、
8152,今後の見通しも難しいことから、継続的に様々な情報の収集に努め、スピーディーな経営判断を常に心がけてまいります。更に、安定した需要が見込まれる機能性食品、再生医療用に設計・開発した材料を用いた化粧品、食品機能性材料を使ったアイスクリームを含んだデザート、産学連携で取り組んでいるバイオマテリアル及び次世代材料の早期上市を目指しております。当連結会計年度においては、製紙業界向け製商品の販売が軟調に推移したものの、自動車部品業界・半導体関連業界向け製商品の販売が好調を維持したことに加え、モバイル市場向け製商品の需要も堅調に推移したことを背景に、売上高は前年同期を上回りました。当連結会計年度の経営成績は、売上高は312億円（前年同期比2.8％増）、営業利益は26億４百万円（前年同期比1.3％増）、経常利益は27億１千１百万円（前年同期比0.0％増）となりました。親会社株主に帰属する当期純利益は、前連結会計年度に計上した投資有価証券売却益（６億５千７百万円）が、当連結会計年度は発生しなかったこと等により、14億８千８百万円（前年同期比42.5％減）となりました。セグメントの経営成績は、以下のとおりであります。[高機能材料事業]電子機器業界向け製商品の販売はモバイル市場・半導体関連市場を中心に需要が堅調に推移し、自動車部品業界向け販売はHEV・BEVの増産を背景にEV関連向け製商品の販売が好調を維持しました。自動車関連市場・半導体関連市場の需要が堅調である一方、重電市場・大型モーター市場では需
